contractor_id,contractor_name,business_name,department,assigned_reports,completed_reports,avg_resolution_days,sla_compliance_rate,avg_rating,strikes,on_time_rate,is_verified,specializations,contact_email,contact_phone,registration_no,pan_number,gst_number
cont001,Rajesh Contractors Pvt Ltd,Rajesh Urban Solutions,Roads & Infrastructure,12,8,4.2,85.5,4.2,0,0.92,true,"Road Construction|Pothole Repair|Traffic Management",rajesh@urbansoln.com,+91-9876543210,REG001,ABCPR1234A,29ABCPR1234A1Z5
cont002,Delhi Municipal Services,DMS Sanitation Corp,Sanitation,18,15,3.8,92.1,4.5,0,0.89,true,"Waste Management|Cleaning|Pest Control",contact@dmsanitation.com,+91-9876543211,REG002,DEFGH5678B,29DEFGH5678B1Z8
cont003,PowerTech Solutions,PowerTech Electrical,Electricity,9,7,2.1,95.2,4.7,0,0.96,true,"Electrical Repair|Streetlights|Power Lines",info@powertech.com,+91-9876543212,REG003,GHIJK9012C,29GHIJK9012C1Z1
cont004,AquaFlow Systems,AquaFlow Water Works,Water Supply,15,12,5.3,78.9,3.9,1,0.85,true,"Plumbing|Pipe Installation|Water Treatment",support@aquaflow.com,+91-9876543213,REG004,JKLMN3456D,29JKLMN3456D1Z4
cont005,GreenSpace Developers,GreenSpace Parks & Rec,Parks & Recreation,7,5,6.8,72.3,4.1,0,0.88,true,"Park Maintenance|Landscaping|Playground Equipment",hello@greenspace.com,+91-9876543214,REG005,MNOPQ7890E,29MNOPQ7890E1Z7
cont006,BuildRight Construction,BuildRight Civil Works,Building & Construction,11,8,7.2,81.4,4.0,0,0.83,true,"Building Repair|Construction|Structural Work",contact@buildright.com,+91-9876543215,REG006,PQRST1234F,29PQRST1234F1Z0
cont007,QuickFix Services,QuickFix General Maintenance,General Maintenance,20,16,3.5,88.7,4.3,0,0.91,true,"General Repair|Emergency Services|Multi-Service",quickfix@services.com,+91-9876543216,REG007,STUVW5678G,29STUVW5678G1Z3
cont008,SafeCity Solutions,SafeCity Security & Safety,Public Safety,6,4,4.9,76.8,3.8,1,0.78,true,"Security|Safety Equipment|Emergency Response",info@safecity.com,+91-9876543217,REG008,VWXYZ9012H,29VWXYZ9012H1Z6
cont009,EcoClean Partners,EcoClean Environmental,Environmental Services,13,10,4.1,86.2,4.4,0,0.87,true,"Environmental Cleanup|Tree Care|Pollution Control",eco@cleanpartners.com,+91-9876543218,REG009,ABCDE3456I,29ABCDE3456I1Z9
cont010,UrbanTech Innovations,UrbanTech Smart City,Technology Services,8,6,2.8,93.5,4.6,0,0.94,true,"Smart Systems|IoT|Digital Infrastructure",urban@techinnov.com,+91-9876543219,REG010,FGHIJ7890J,29FGHIJ7890J1Z2
